timestamp,accX,accY,accZ,anvX,anvY,anvZ
0,-0.2,-9.7,-1.45,-0.09,-0.11,0.03
100,0.11,-10.09,-1.91,0.03,0.02,-0.04
200,-0.1,-10.41,-2.18,-0.1,0.09,0.06
300,0.23,-9.77,-1.5,-0.08,0.03,0.12
400,0.29,-9.55,-1.33,0.02,0.16,-0.08
500,0.36,-9.91,-2.01,0.09,0.14,-0.05
600,-0.19,-10.14,-2.12,0.07,0.16,-0.07
700,0.08,-9.86,-1.67,-0.02,0.09,0.05
800,-0.17,-9.88,-2.63,0.01,0.19,-0.03
900,0.16,-10.02,-1.88,-0.01,0.1,-0.01
1000,0.23,-9.89,-1.77,-0.08,0.16,0.03
1100,-0.41,-10.13,-1.46,0,0.13,0.09
1200,0.02,-9.74,-1.5,0.13,0.2,0
1300,-0.55,-10.24,-1.79,0.06,0.34,-0.26
1400,0.11,-9.66,-1.65,0.15,-0.01,0.1
1500,-0.61,-9.99,-1.43,0.13,0.21,0.07
1600,0.03,-9.51,-1.27,0,-0.03,0.13
1700,-0.35,-9.77,-1.05,-0.1,0.06,0.01
1800,-0.27,-9.89,-1.24,0.04,0,-0.03
1900,-0.26,-9.98,-0.88,-0.01,0,0.02
2000,-0.31,-10.05,-0.98,0.01,-0.03,0.05
2100,-0.24,-9.85,-1.19,0.03,0.05,0.07
2200,-0.09,-9.74,-0.94,0.03,-0.08,0.05
2300,-0.33,-9.89,-0.56,-0.04,-0.01,-0.03
2400,-0.52,-9.99,-0.64,-0.02,-0.1,0.04
2500,-0.09,-9.71,-0.79,0.1,-0.03,-0.07
2600,-0.05,-9.68,-0.79,0.1,0,-0.02
2700,0.05,-9.88,-0.82,0.03,-0.08,-0.11
2800,-0.24,-10.14,-0.42,-0.15,-0.15,-0.07
2900,-0.05,-9.96,-0.45,-0.1,-0.08,0.02
3000,0.18,-9.81,-0.62,-0.05,-0.03,-0.01
3100,0.13,-9.75,-1.01,-0.03,-0.1,0.03
3200,0.18,-9.91,-0.87,-0.03,-0.1,-0.01
3300,0.18,-9.91,-1.38,-0.13,0,-0.05
3400,-0.13,-10.12,-0.95,-0.2,-0.04,-0.02
3500,0.27,-9.99,-1.25,-0.13,0.01,0
3600,-0.11,-10.2,-1.97,-0.04,-0.01,0.04
3700,0.3,-9.93,-1.79,-0.09,-0.13,0.01
