timestamp,accX,accY,accZ,anvX,anvY,anvZ
0,-0.81,-10.23,-0.34,0.93,0.13,-0.48
100,-1.41,-10.5,-2.08,0.75,0.37,-0.04
200,-0.53,-9.65,-1.14,-0.79,-0.11,0.31
300,-0.21,-9.73,-0.27,-0.33,-0.06,-0.22
400,-1.19,-10.06,-0.86,0.49,0.14,-0.16
500,-0.48,-9.16,-1.31,-0.11,-0.01,0.45
600,-0.34,-10.06,-0.57,-0.36,-0.31,-0.1
700,-1.65,-12.76,-1.28,0.2,0.04,-0.52
800,-1.14,-9.89,-1.4,-0.61,0.05,0.12
900,-0.14,-8.61,-1.13,-0.2,0.47,0.17
1000,-0.15,-7.38,-1.81,0.2,0.2,-0.03
1100,-0.53,-9.38,-1.99,-0.18,-0.36,0.07
1200,-0.54,-12.32,-1.32,-0.31,-0.3,-0.03
1300,-1,-13.58,-2.34,0.7,0.25,-0.25
1400,-0.19,-9.99,-1.92,-0.55,0.28,0.03
1500,0.16,-8.17,-1.26,-0.26,0.44,-0.08
1600,0.2,-7.93,-1.9,0.13,0.05,0.05
1700,0.44,-8.5,-2.31,0.1,-0.36,0.12
1800,-0.01,-10.87,-2.46,-0.36,-0.43,-0.21
1900,-0.66,-12.8,-2.37,0.1,0.05,-0.3
2000,-0.11,-10.33,-1.92,-0.31,-0.07,-0.21
2100,0.13,-8.46,-2.04,0.49,0.53,-0.17
2200,0.82,-8.12,-2.46,-0.21,0.27,0.54
2300,1.34,-7.65,-2.12,-0.83,-2.01,0.23
2400,0.33,-10.05,-2.24,0.27,0.18,-0.13
2500,-0.35,-11.65,-2.83,0.27,-0.38,-0.25
2600,-0.21,-10.89,-2.83,-0.35,-0.17,-0.06
2700,-0.38,-9.86,-2.58,-0.28,0.43,0.12
2800,-0.09,-9,-2.41,-0.03,0.19,0.26
2900,-0.22,-9.31,-2.94,0.21,0.48,-0.05
3000,0.04,-8.21,-2.88,-0.05,0.37,-0.12
3100,0.19,-9.25,-3.08,0.1,-0.07,-0.18
3200,0.06,-9.43,-3.23,-0.27,-0.37,-0.13
3300,0.41,-10.26,-3.17,-0.38,-0.6,-0.14
3400,0.18,-10.14,-3.41,-0.12,-0.61,-0.56
3500,0.67,-10.27,-3.91,0.08,-0.28,-0.04
3600,1.01,-11.11,-3.96,0.32,-0.12,0.06
3700,0.63,-10.52,-3.9,-0.12,-0.03,0.45
3800,0.29,-9.61,-3.11,0.07,0.03,-0.13
3900,-0.1,-9.41,-3.09,0.23,0.2,0.23
4000,-0.09,-10.4,-2.61,0.15,0.21,0.06
4100,0.04,-9.77,-2.31,0.27,0.32,0.13
4200,0.06,-9.32,-2.07,0.17,0.2,0.06
4300,-0.51,-9.81,-1.95,-0.02,-0.15,-0.19
4400,-0.6,-9.61,-1.91,0.08,-0.1,0.11
4500,-0.63,-11.09,-1.75,-0.36,-0.56,0.15
4600,-0.42,-11.07,-1.65,-0.17,-0.24,0.08
4700,-0.59,-11.91,-1.84,0.25,0.1,-0.05
4800,0.31,-9.7,-2.03,0,0.58,0.19
4900,0.18,-9.19,-1.71,0.04,0.31,-0.22
5000,-0.61,-9.68,-1.77,0.3,0.36,0.08
5100,-0.09,-9.82,-1.57,0.05,0.24,0.15
5200,-0.36,-9.24,-1.3,0.03,0.1,-0.1
5300,-0.28,-8.92,-0.99,0.13,0.23,0.03
5400,0.06,-9.75,-0.99,0.26,0.09,-0.24
5500,-0.63,-9.32,-0.84,0.16,0.12,-0.25
5600,0.47,-10.39,-0.85,-0.06,-0.25,-0.03
5700,-0.04,-10.87,-1.07,-0.19,-0.25,-0.13
5800,0.38,-11.74,-0.93,0.14,0.2,0.14
5900,0.12,-10.69,-1,-0.08,0.22,0.13
6000,0.04,-10.35,-1.05,0.13,0.26,0.01
6100,0.31,-9.43,-0.54,-0.16,0.09,0.15
6200,0.41,-8.99,-0.72,0.09,-0.01,-0.07
6300,0.29,-9.27,-0.41,0.08,-0.03,-0.01
6400,-0.06,-8.89,-0.2,0.05,-0.12,0.01
6500,0.27,-8.93,0.1,-0.05,-0.19,0.04
6600,-0.06,-9.52,0.24,0.08,0.08,0.06
6700,-0.15,-10.61,-0.01,-0.08,-0.17,0.07
6800,-0.1,-10.98,-0.03,-0.07,0.09,-0.16
6900,-0.04,-10.74,0.37,-0.15,0.19,0.04
7000,0.29,-9.84,-0.08,0.22,0.48,0.09
7100,0.36,-9.61,-0.3,0.04,0.05,-0.04
7200,-0.11,-9.24,0.11,0.15,-0.08,0.01
7300,0.18,-9.74,-0.06,0.27,0.02,-0.01
7400,-0.34,-9.34,0.21,-0.24,-0.13,-0.08
7500,-0.14,-8.77,0.41,-0.06,0.08,0.17
7600,0.25,-9.36,0.5,-0.07,0.09,0.22
7700,-0.36,-9.9,0.57,-0.15,-0.04,-0.1
7800,-0.13,-10.55,0.11,0.01,0.18,0.13
7900,-0.29,-10.52,0.23,-0.23,0.06,-0.19
8000,-0.31,-10.27,-0.17,-0.08,0.12,-0.12
8100,-0.93,-9.52,-0.24,0.07,0.01,0
8200,-0.31,-9.88,-0.53,-0.12,0.22,0.1
8300,0.16,-10.01,-0.34,-0.54,-0.31,-0.06
8400,0.28,-8.79,-0.29,-0.1,-0.26,0.08
8500,0.22,-9.45,-1.23,-0.08,-0.17,0.18
8600,0.11,-9.89,-0.95,-0.28,-0.35,-0.07
8700,-0.09,-9.81,-1.43,-0.01,-0.18,0.01
8800,0.17,-9.74,-1.47,-0.03,-0.3,0
8900,-0.44,-10.71,-1.63,-0.17,-0.19,-0.07
9000,-0.37,-11.97,-1.3,-0.21,-0.05,-0.07
9100,-0.33,-10.55,-1.15,-0.32,0.26,-0.13
9200,0.01,-9.74,-1.35,0.09,0.15,0.03
9300,0.17,-9.2,-1.53,0.19,-0.02,0.23
9400,0.13,-9.13,-1.74,-0.32,0.03,0.07
9500,0.12,-9.01,-1.82,-0.13,0.06,0.13
9600,0.11,-9.6,-2.06,-0.16,-0.19,0.09
9700,0.04,-9.27,-2.02,-0.25,-0.35,0.12
9800,-0.11,-9.42,-2.04,0.07,-0.21,-0.07
