timestamp,accX,accY,accZ,anvX,anvY,anvZ
0,-0.44,-9.62,-1.16,0.12,-0.19,-0.03
100,-1.03,-9.75,-1.56,0.12,-0.49,-0.08
200,-0.36,-10.29,-1.4,-0.04,-0.32,0.01
300,-0.92,-10.42,-1.57,-0.07,0.06,0
400,-0.52,-10.03,-1.68,-0.15,-0.06,0.02
500,-0.55,-9.58,-1.08,-0.05,-0.01,0.07
600,-0.68,-9.74,-0.52,0.09,0.08,0.19
700,-1.17,-9.89,-0.85,0.08,0.24,0.18
800,-1.53,-10.07,-0.83,0.05,0.11,0.19
900,-1.62,-9.76,-1.17,-0.07,0.66,0.18
1000,-1.41,-9.85,-1.35,-0.11,0.16,0.21
1100,-1.37,-9.8,-1.34,0.06,0.15,0.14
1200,-1.85,-9.69,-1.41,0.1,0.29,0.05
1300,-2.01,-9.63,-1.38,0.01,-0.06,0.02
1400,-1.59,-9.48,-0.86,0.05,0.02,-0.02
1500,-1.92,-9.68,-0.93,0.14,0.22,-0.01
1600,-1.97,-9.57,-0.88,-0.02,0.11,-0.05
1700,-1.94,-9.5,-1.08,0,0.09,-0.18
1800,-2.12,-9.98,-1.28,-0.07,-0.24,-0.13
1900,-1.73,-9.79,-0.6,0,-0.12,-0.15
2000,-1.6,-10.02,-0.97,-0.1,-0.23,-0.05
2100,-1.12,-9.85,-0.73,-0.07,-0.18,-0.07
2200,-1.03,-9.74,-0.74,0.05,0.04,-0.16
2300,-1.09,-9.75,-1.16,0,0.01,-0.05
2400,-1.02,-9.6,-0.68,-0.03,0.07,-0.15
2500,-1.57,-9.86,-0.67,-0.07,-0.03,-0.11
2600,-0.85,-9.79,-0.51,-0.03,-0.08,-0.09
2700,-0.77,-9.91,-0.52,0.01,-0.19,-0.2
2800,-0.37,-10.09,-1.29,-0.02,-0.13,-0.08
2900,-0.31,-9.78,-0.41,-0.02,-0.08,-0.11
3000,-0.61,-9.71,0.04,0.13,0.12,-0.08
3100,-1.3,-9.8,-0.26,0.07,0.11,0.08
3200,-0.79,-10.01,-0.35,-0.01,0.09,0.15
3300,-0.47,-9.49,-0.21,0.08,0.37,0.04
3400,-0.12,-9.89,-0.97,0.01,0.2,0.19
3500,-0.72,-9.9,-0.27,-0.05,0.02,0.15
3600,-0.76,-9.95,0.18,-0.01,0.16,0.25
3700,-1.2,-9.62,0.14,0.1,0.56,0.13
3800,-1.57,-9.67,-0.17,-0.15,0.29,0.22
3900,-1.66,-9.73,-0.02,-0.1,0.12,0.29
4000,-2.04,-9.22,-0.48,0.08,0.35,0.34
4100,-2.29,-9.07,-0.28,0.03,0.16,0.28
4200,-2.34,-9.19,-0.17,0.1,0.39,0.25
4300,-2.71,-9.27,0.04,0.13,-0.29,0.01
4400,-2.32,-9.31,-0.13,0.36,0.15,0.03
4500,-2.28,-9.1,0.37,0.11,0.09,-0.17
4600,-1.83,-9.62,-0.21,0.04,-0.16,-0.16
4700,-1.59,-9.56,-0.13,-0.21,-0.36,-0.38
4800,-1.49,-9.73,1.08,-0.16,-0.05,-0.41
4900,-0.6,-9.29,0.74,-0.03,0.4,-0.3
5000,-0.85,-9.3,0.08,-0.07,0.21,-0.14
5100,-0.21,-10.03,0.7,-0.08,0.12,-0.14
5200,-0.44,-9.74,0.93,0.03,-0.03,-0.17
5300,-0.67,-10.05,0.49,-0.01,-0.17,-0.17
5400,0.11,-9.92,0.06,-0.1,-0.4,-0.15
5500,-0.35,-10.01,0.58,0.03,-0.16,-0.07
5600,0.59,-10.51,-0.24,-0.16,-0.32,-0.08
5700,0.45,-9.7,0.03,-0.18,-0.26,-0.09
5800,0.37,-9.97,-0.01,-0.09,-0.33,-0.22
5900,0.85,-9.68,0.26,0.04,0.21,0.06
6000,1.7,-9.99,-0.49,-0.09,0.37,0.07
6100,0.18,-10.41,0.5,0.1,0.84,0.23
6200,-0.18,-10.53,-0.38,0.07,0.78,0.24
6300,-0.21,-9.82,0.41,-0.24,0.24,0.27
6400,0.26,-9.62,-0.05,-0.03,0.26,0.32
6500,-0.64,-9.9,0.39,0.1,0.34,0.25
6600,-1.05,-9.76,0.14,0.11,0,0.37
6700,-2.08,-9.34,0.05,0,0.37,0.22
6800,-1.97,-9.38,0.78,0.14,0.27,0.22
6900,-1.67,-9.47,0.35,0.14,-0.08,0.05
7000,-1.53,-9.17,0.39,0.14,-0.02,0.03
7100,-2.3,-9.88,0.39,0.11,0.09,0.08
7200,-2.03,-9.92,0.64,0.09,0.08,0.01
7300,-1.54,-9.53,0.73,0.04,0.02,-0.06
7400,-1.52,-9.53,0.72,0.04,0.15,-0.1
7500,-1.16,-9.48,0.19,0.09,0.06,-0.18
7600,-1.08,-9.58,0.91,-0.04,-0.32,-0.19
7700,-0.39,-9.76,0.61,0.05,-0.47,-0.44
7800,0.06,-9.28,1.55,-0.03,-0.18,-0.44
7900,0.25,-9.56,1.02,0.1,0.05,-0.42
8000,0.34,-9.53,0.26,-0.01,-0.22,-0.25
8100,0.49,-9.91,0.23,-0.35,-0.15,-0.13
8200,1.21,-9.72,0.79,-0.18,-0.16,0
8300,0.67,-9.54,1,-0.15,-0.29,0.13
8400,0.52,-9.56,0.62,0.02,-0.05,0.17
8500,0.12,-10.31,-0.52,0.06,0.08,0.09
8600,-0.21,-10.28,-0.25,-0.03,0.13,0.17
8700,-0.23,-9.99,0,-0.21,0.15,0.16
8800,0.05,-9.47,0.5,-0.13,0.11,0.45
8900,-0.75,-9.77,0.3,0.1,0.18,0.24
9000,-0.99,-10.01,-0.84,0,-0.07,0.27
9100,-1.74,-9.58,-0.1,-0.05,0.07,0.3
9200,-1.75,-9.93,-0.34,-0.14,0.07,0.42
9300,-2.03,-9.49,-0.27,-0.12,0.05,0.22
9400,-2.27,-9.4,-0.94,-0.07,-0.2,0.3
9500,-2.65,-9.45,-0.68,-0.1,0.02,0.28
9600,-2.83,-9,-0.68,0.06,-0.34,0.44
9700,-2.59,-9.28,-0.69,-0.19,-0.27,0.09
9800,-2.55,-9.2,-0.19,-0.17,-0.09,0
9900,-1.95,-8.83,-0.2,-0.26,-0.25,-0.06
10000,-2.07,-9.09,0.09,-0.15,-0.25,-0.22
10100,-2.31,-9.49,-0.52,0.03,-0.21,-0.32
10200,-2.7,-10.26,-0.93,-0.08,-0.1,-0.37
10300,-2.33,-10.24,-1.13,-0.12,-0.23,-0.11
10400,-1.73,-10.16,-0.83,-0.05,0.13,-0.28
10500,-1.4,-10.09,-1,-0.02,0.09,-0.13
10600,-1.55,-9.94,-0.98,-0.07,-0.02,-0.21
10700,-0.96,-9.9,-0.34,0.1,0.22,-0.12
10800,-0.5,-10.02,-0.76,-0.01,0.43,-0.28
10900,-0.88,-9.86,-0.7,-0.12,0.2,-0.13
11000,-0.8,-10.14,-0.56,-0.04,0.22,-0.1
11100,-0.37,-9.76,-0.61,0.02,-0.09,0.05
11200,-0.68,-10.04,-0.94,-0.04,-0.17,0.04
11300,-0.98,-10.19,-1.13,-0.04,-0.26,0.2
11400,-1.28,-9.81,-0.36,-0.14,-0.36,0.26
11500,-0.66,-9.27,-0.11,-0.07,-0.1,0.5
11600,-0.81,-9.21,-0.1,0.02,0.1,0.23
11700,-1.72,-9.75,-0.17,0.09,0.07,0.22
11800,-1.43,-9.57,-1.22,0.02,0.1,0.12
