timestamp,accX,accY,accZ,anvX,anvY,anvZ
0,0.28,-9.94,-1.61,-0.03,0.01,0
100,0.3,-9.88,-1.67,-0.03,0.01,0
200,0.3,-9.87,-1.67,-0.03,0.01,0
300,0.3,-9.92,-1.53,-0.03,0.01,0
400,0.31,-9.98,-1.61,-0.03,0.01,0
500,0.31,-9.91,-1.53,-0.03,0.01,0
600,0.3,-9.91,-1.65,-0.03,0.01,0
700,0.28,-9.94,-1.67,-0.03,0.01,0
800,0.33,-9.89,-1.64,-0.03,0.01,0
900,0.3,-9.9,-1.68,-0.03,0.01,0
1000,0.35,-9.94,-1.59,-0.03,0.01,0
1100,0.3,-9.96,-1.59,-0.03,0.01,0
1200,0.34,-9.91,-1.61,-0.03,0.01,0
1300,0.33,-9.91,-1.62,-0.03,0.01,0
1400,0.29,-9.85,-1.56,-0.03,0.01,0
1500,0.32,-9.94,-1.6,-0.03,0.01,0
1600,0.29,-9.91,-1.66,-0.03,0.01,0
1700,0.4,-9.96,-1.6,-0.03,0.01,0
1800,0.36,-9.95,-1.62,-0.03,0.01,0
1900,0.34,-9.94,-1.6,-0.03,0.01,0
2000,0.38,-9.97,-1.7,-0.03,0.01,0
2100,0.32,-9.91,-1.66,-0.03,0.01,0
2200,0.35,-9.88,-1.65,-0.03,0.01,0
2300,0.29,-9.92,-1.69,-0.03,0.01,0
2400,0.38,-9.88,-1.64,-0.03,0.01,0
2500,0.34,-9.92,-1.6,-0.03,0.01,0
2600,0.3,-9.92,-1.61,-0.03,0.01,0
2700,0.28,-9.95,-1.59,-0.03,0.01,0
2800,0.26,-9.91,-1.63,-0.03,0.01,0
2900,0.31,-9.9,-1.55,-0.03,0.01,0
3000,0.3,-9.9,-1.55,-0.03,0.01,0
3100,0.3,-9.96,-1.65,-0.03,0.01,0
3200,0.27,-9.91,-1.65,-0.03,0.01,0
3300,0.32,-9.92,-1.6,-0.03,0.01,0
3400,0.3,-9.96,-1.58,-0.03,0.01,0
3500,0.31,-9.89,-1.54,-0.03,0.01,0
3600,0.34,-9.93,-1.62,-0.03,0.01,0
3700,0.3,-9.9,-1.64,-0.03,0.01,0
3800,0.31,-9.92,-1.7,-0.03,0.01,0
3900,0.28,-9.97,-1.62,-0.03,0.01,0
4000,0.35,-9.95,-1.64,-0.03,0.01,0
4100,0.34,-9.93,-1.66,-0.03,0.01,0
4200,0.3,-9.93,-1.67,-0.03,0.01,0
4300,0.3,-9.93,-1.64,-0.03,0.01,0
4400,0.3,-9.89,-1.64,-0.03,0.01,0
4500,0.34,-9.9,-1.59,-0.03,0.01,0
4600,0.31,-9.97,-1.59,-0.03,0.01,0
4700,0.32,-9.9,-1.6,-0.03,0.01,0
4800,0.24,-9.9,-1.58,-0.03,0.01,0
4900,0.35,-9.89,-1.56,-0.03,0.01,0
5000,0.36,-9.96,-1.68,-0.03,0.01,0
5100,0.34,-9.89,-1.63,-0.03,0.01,0
5200,0.3,-9.95,-1.64,-0.03,0.01,0
5300,0.29,-9.87,-1.56,-0.03,0.01,0
5400,0.33,-9.9,-1.65,-0.03,0.01,0
5500,0.26,-9.84,-1.65,-0.03,0.01,0
5600,0.34,-9.94,-1.63,-0.03,0.01,0
5700,0.3,-9.93,-1.59,-0.03,0.01,0
5800,0.28,-9.89,-1.56,-0.03,0.01,0
5900,0.3,-9.95,-1.61,-0.03,0.01,0
6000,0.3,-9.87,-1.67,-0.03,0.01,0
6100,0.3,-9.91,-1.53,-0.03,0.01,0
6200,0.31,-9.92,-1.63,-0.03,0.01,0
6300,0.34,-9.95,-1.62,-0.03,0.01,0
6400,0.28,-9.91,-1.65,-0.03,0.01,0
6500,0.3,-9.94,-1.65,-0.03,0.01,0
6600,0.33,-9.91,-1.57,-0.03,0.01,0
6700,0.34,-9.91,-1.69,-0.03,0.01,0
6800,0.39,-9.88,-1.65,-0.03,0.01,0
6900,0.38,-9.9,-1.59,-0.03,0.01,0
7000,0.33,-9.88,-1.62,-0.03,0.01,0
7100,0.34,-9.9,-1.56,-0.03,0.01,0
7200,0.31,-9.94,-1.66,-0.03,0.01,0
7300,0.27,-9.89,-1.64,-0.03,0.01,0
7400,0.3,-9.94,-1.61,-0.03,0.01,0
7500,0.31,-9.94,-1.67,-0.03,0.01,0
7600,0.37,-9.88,-1.6,-0.03,0.01,0
7700,0.33,-9.9,-1.7,-0.03,0.01,0
7800,0.31,-9.91,-1.55,-0.03,0.01,0
7900,0.34,-9.92,-1.65,-0.03,0.01,0
8000,0.32,-9.95,-1.65,-0.03,0.01,0
8100,0.28,-9.88,-1.6,-0.03,0.01,0
8200,0.3,-9.93,-1.61,-0.03,0.01,0
8300,0.37,-9.9,-1.56,-0.03,0.01,0
8400,0.28,-9.95,-1.68,-0.03,0.01,0
8500,0.29,-9.9,-1.61,-0.03,0.01,0
8600,0.3,-9.94,-1.63,-0.03,0.01,0
8700,0.27,-9.88,-1.66,-0.03,0.01,0
8800,0.32,-9.89,-1.64,-0.03,0.01,0
8900,0.29,-9.89,-1.65,-0.03,0.01,0
9000,0.35,-9.91,-1.69,-0.03,0.01,0
9100,0.32,-9.96,-1.52,-0.03,0.01,0
9200,0.32,-9.89,-1.56,-0.03,0.01,0
9300,0.32,-9.98,-1.58,-0.03,0.01,0
9400,0.28,-9.92,-1.52,-0.03,0.01,0
9500,0.35,-9.95,-1.64,-0.03,0.01,0
9600,0.32,-9.86,-1.62,-0.03,0.01,0
9700,0.28,-9.88,-1.6,-0.03,0.01,0
9800,0.3,-9.92,-1.66,-0.03,0.01,0
9900,0.27,-9.94,-1.6,-0.03,0.01,0
10000,0.29,-9.91,-1.63,-0.03,0.01,0
10100,0.3,-9.91,-1.73,-0.03,0.01,0
10200,0.27,-9.91,-1.58,-0.03,0.01,0
10300,0.29,-9.93,-1.61,-0.03,0.01,0
10400,0.32,-9.9,-1.64,-0.03,0.01,0
10500,0.31,-9.92,-1.62,-0.03,0.01,0
10600,0.31,-9.91,-1.58,-0.03,0.01,0
10700,0.29,-9.93,-1.58,-0.03,0.01,0
10800,0.29,-9.97,-1.57,-0.03,0.01,0
10900,0.27,-9.95,-1.63,-0.03,0.01,0
11000,0.34,-9.9,-1.6,-0.03,0.01,0
11100,0.32,-9.86,-1.68,-0.03,0.01,0
11200,0.28,-9.92,-1.68,-0.03,0.01,0
11300,0.33,-9.89,-1.61,-0.03,0.01,0
11400,0.33,-9.94,-1.57,-0.03,0.01,0
11500,0.38,-9.9,-1.72,-0.03,0.01,0
11600,0.33,-9.91,-1.68,-0.03,0.01,0
11700,0.33,-9.9,-1.65,-0.03,0.01,0
11800,0.38,-9.89,-1.69,-0.03,0.01,0
11900,0.3,-9.96,-1.67,-0.03,0.01,0
12000,0.31,-9.9,-1.62,-0.03,0.01,0
12100,0.31,-9.84,-1.68,-0.03,0.01,0
12200,0.38,-9.92,-1.58,-0.03,0.01,0
12300,0.4,-9.91,-1.68,-0.03,0.01,0
12400,0.35,-9.95,-1.6,-0.03,0.01,0
12500,0.34,-9.94,-1.68,-0.03,0.01,0
12600,0.32,-9.89,-1.61,-0.03,0.01,0
12700,0.32,-9.96,-1.52,-0.03,0.01,0
12800,0.34,-9.92,-1.57,-0.03,0.01,0
12900,0.28,-9.9,-1.62,-0.03,0.01,0
13000,0.36,-9.92,-1.64,-0.03,0.01,0
13100,0.27,-9.97,-1.64,-0.03,0.01,0
13200,0.37,-9.96,-1.53,-0.03,0.01,0
13300,0.29,-9.92,-1.59,-0.03,0.01,0
13400,0.32,-9.88,-1.65,-0.03,0.01,0
13500,0.33,-9.92,-1.61,-0.03,0.01,0
13600,0.3,-9.93,-1.56,-0.03,0.01,0
13700,0.31,-9.92,-1.63,-0.03,0.01,0
13800,0.28,-9.9,-1.62,-0.03,0.01,0
13900,0.29,-9.95,-1.58,-0.03,0.01,0
14000,0.33,-9.95,-1.58,-0.03,0.01,0
14100,0.29,-9.92,-1.51,-0.03,0.01,0
14200,0.32,-9.88,-1.59,-0.03,0.01,0
14300,0.34,-9.9,-1.64,-0.03,0.01,0
14400,0.34,-9.85,-1.62,-0.03,0.01,0
14500,0.27,-9.94,-1.6,-0.03,0.01,0
14600,0.32,-9.91,-1.57,-0.03,0.01,0
14700,0.36,-9.96,-1.62,-0.03,0.01,0
